K;FD;DET;;
1001 vd1.1;1001 d1;1940;;
1001 vd2.1;1001 d2;1941;;
1002 vd1.1;1002 d1;1908;;
1002 vd1.2;1002 d2;1906;;
1002 vd2.1;1002 d3;1904;;
1002 vd2.2;1002 d4;1905;;
1003 d1;1003 d1;1221;;
1003 d10;1003 d10;1230;;
1003 d11;1003 d11;1231;;
1003 d2;1003 d2;1222;;
1003 d3;1003 d3;1223;;
1003 d4;1003 d4;1224;;
1003 d5;1003 d5;1225;;
1003 d6;1003 d6;1226;;
1003 d7;1003 d7;1227;;
1003 d8;1003 d8;1228;;
1003 d9;1003 d9;1229;;
1004 vd1.1;1004 d1;1902;;
1004 vd1.2;1004 d2;1901;;
1004 vd2.1;1004 d3;1899;;
1004 vd2.2;1004 d4;1903;;
1005 d1;1005 d4;1891;;
1005 d2;1005 d5;1897;;
1005 d3;1005 d6;1892;;
1005 d4;1005 d7;1889;;
1005 d6;1005 d9;1895;;
1005 d7;1005 d10;1894;;
1005 vd1.1;1005 d10;1890;;
1005 vd2.1;1005 d2;1893;;
1006 vd1.1;1006 d1;1443;;
1007 d1;1007 d1;1225;;
1007 d10;1007 d10;1246;;
1007 d11;1007 d11;1245;;
1007 d2;1007 d2;1254;;
1007 d3;1007 d3;1253;;
1007 d4;1007  d4;1252;;
1007 d5;1007 d5;1251;;
1007 d6;1007 d6;1250;;
1007 d7;1007 d7;1249;;
1007 d8;1007 d8;1248;;
1007 d9;1007 d9;1247;;
1008 d1;1008 d1;1116;;
1008 d2;1008 d2;1107;;
1008 d3;1008 d3;1117;;
1008 d4;1008 d4;113;;
1008 d5;1008 d5;1115;;
1008 d6;1008 d6;115;;
1008 d7;1008 d7;1219;;
1008 d8;1008 d8;1106;;
1009 vd1.2;1009 d2;596;;
1009 vd1.3;1009 d3;597;;
1009 vd2.1;1009 d4;598;;
1009 vd2.2;1009 d5;599;;
1009 vd3.1;1009 d6;6;;
1009 vd3.2;1009 d7;60;;
1009 vd4.1;1009 d8;600;;
1009 vd4.2;1009 d9;776;;
1009 vd5.2;1009 d11;778;;
1009 vd6.1;1009 d12;779;;
1009 vd6.2;1009 d13;78;;
1010 D1;1010 D1;1875;;
1010 D2;1010 D2;1874;;
1010 D3;1010 D3;1876;;
1010 D4;1010 D4;1877;;
1011 VD1.1;1011 D1;1936;;
1011 VD1.2;1011 D2;1937;;
1013 VD3.1;1013 D3;1930;;
1011 VD2.2;1011 D4;1935;;
1013 VD1.1;1013 D1;1932;;
1013 VD2.1;1013 D2;1931;;
1013 VD3.1;1013 D3;1930;;
1013 VD4.1;1013 D4;1933;;
1014 D1;1014 D1;1922;;
1014 D10;1014 D10;1928;;
1014 D2;1014 D2;1920;;
1014 D3;1014 D3;1925;;
1014 D4;1014 D4;1924;;
1014 D5;1014 D5;1929;;
1014 D6;1014 D6;1927;;
1014 D7;1014 D7;1926;;
1014 D8;1014 D8;1921;;
1014 D9;1014 D9;1923;;
1015 VD1.1;1015 D1;1311;;
1015 VD2.1;1015 D2;1310;;
1016 D1;1016 D1;1868;;
1016 D2;1016 D2;1865;;
1016 D3;1016 D3;1863;;
1016 D4;1016 D4;1864;;
1016 D5;1016 D5;1870;;
1016 D6;1016 D6;1872;;
1016 D7;1016 D7;1871;;
1016 D8;1016 D8;1869;;
1016 D9;1016 D9;1866;;
1017 VD1.1;1017 D1;1862;;
1017 VD2.1;1017 D2;1860;;
1018 D1;1018 D1;1234;;
1018 D2;1018 D2;1235;;
1018 D3;1018 D3;1236;;
1018 D4;1018 D4;1237;;
1018 D5;1018 D5;1238;;
1018 D6;1018 D6;1239;;
1018 D7;1018 D7;1240;;
1018 D8;1018 D8;1241;;
1019 VD1.1;1019 D1;280;;
1019 VD1.2;1019 D2;281;;
1019 VD2.1;1019 D2;282;;
1019 VD3.1;1019 D4;283;;
1019 VD3.2;1019 D5;284;;
1019 VD4.1;1019 D6;285;;
101 D6;101 D15;104;;
101 D7;101 D16;1040;;
101 D8;101 D17;1041;;
101 VD4.1;101 D8;1033;;
101 VD4.2;101 D9;1034;;
1020 VD1.1;1020 D1;1859;;
1020 VD2.1;1020 D2;1858;;
1021 VD1.1;1021 D1;1853;;
1021 VD1.2;1021 D2;1856;;
1021 VD2.1;1021 D3;1855;;
1021 VD2.2;1021 D4;1854;;
1023 VD1.1;1023 D1;1848;;
1023 VD1.2;1023 D2;1850;;
1024 VD1.1;1024 D1;1846;;
1024 VD1.2;1024 D2;1844;;
1024 VD2.1;1024 D3;1843;;
1024 VD2.2;1024 D4;1847;;
1025 VD1.1;1025 D1;1917;;
1025 VD1.2;1025 D2;1915;;
1025 VD2.1;1025 D3;1914;;
1025 VD2.2;1025 D4;1919;;
1026 VD1.1;1026 D1;1910;;
1026 VD1.2;1026 D2;1912;;
1026 VD2.1;1026 D3;1911;;
1026 VD2.2;1026 D4;1913;;
1027 VD1.1;1027 D1;782;;
1027 VD1.2;1027 D2;783;;
1027 VD2.1;1027 D3;784;;
1027 VD2.2;1027 D4;785;;
1027 VD3.1;1027 D5;786;;
1027 VD3.2;1027 D6;787;;
1027 VD4.1;1027 D7;788;;
1027 VD4.2;1027 D8;789;;
1028 VD1.1;1028 D1;1841;;
1028 VD2.1;1028 D2;1840;;
1029 VD1.1;1029 D1;604;;
1029 VD1.2;1029 D2;605;;
1029 VD1.3;1029 D3;606;;
1029 VD2.1;1029 D4;607;;
1029 VD2.2;1029 D5;608;;
1029 VD3.1;1029 D6;609;;
1029 VD3.2;1029 D7;61;;
1029 VD4.1;1029 D8;734;;
1029 VD4.3;1029 D10;760;;
102 D1;102 D1;0;;
102 D12;102 D12;1004;;
