"id","lat","lon","juosta","pavadinimas","kodas","map_id"
0,NULL,NULL,NULL,NULL,"D1",102
1,NULL,NULL,NULL,NULL,"D14",102
2,NULL,NULL,NULL,NULL,"516 D6",516
3,NULL,NULL,NULL,NULL,"153 D12",153
4,NULL,NULL,NULL,NULL,"118 D10",118
5,NULL,NULL,1,NULL,"VD2.1",318
6,NULL,NULL,1,NULL,"vd3.1",1009
7,NULL,NULL,NULL,NULL,"D4",253
8,NULL,NULL,NULL,NULL,"D15",214
9,NULL,NULL,1,NULL,"VD3.1",206
10,NULL,NULL,NULL,NULL,"D4",102
11,NULL,NULL,1,NULL,"VD3.1",104
12,NULL,NULL,NULL,NULL,"702 D7",702
13,NULL,NULL,3,NULL,"VD1.3",107
14,NULL,NULL,NULL,NULL,"107 D9",107
15,NULL,NULL,1,NULL,"VD1.1",512
16,NULL,NULL,1,NULL,"VD10.1",513
18,NULL,NULL,2,NULL,"VD3.2",515
19,NULL,NULL,NULL,NULL,"109 D9",109
20,NULL,NULL,1,NULL,"VD5.1",516
21,NULL,NULL,NULL,NULL,"110 D7",110
22,NULL,NULL,1,NULL,"VD3.1",517
23,NULL,NULL,1,NULL,"VD2.1",518
24,NULL,NULL,2,NULL,"VD1.2",520
26,NULL,NULL,1,NULL,"VD1.1",117
27,NULL,NULL,NULL,NULL,"D3",358
28,NULL,NULL,4,NULL,"VD4.4",782
29,NULL,NULL,1,NULL,"VD1.1",522
30,NULL,NULL,2,NULL,"VD1.2",153
32,NULL,NULL,1,NULL,"VD2.1",114
33,NULL,NULL,NULL,NULL,"114 D14",114
34,NULL,NULL,2,NULL,"VD3.2",551
35,NULL,NULL,1,NULL,"VD3.1",553
36,NULL,NULL,1,NULL,"VD5.1",555
37,NULL,NULL,NULL,NULL,"D6",115
38,NULL,NULL,2,NULL,"VD1.2",555
39,NULL,NULL,NULL,NULL,"D3",116
40,NULL,NULL,NULL,NULL,"D15",116
41,NULL,NULL,2,NULL,"VD3.2",403
42,NULL,NULL,2,NULL,"VD1.2",404
43,NULL,NULL,1,NULL,"VD1.1",401
44,NULL,NULL,2,NULL,"VD4.2",357
45,NULL,NULL,1,NULL,"VD1.1",354
46,NULL,NULL,2,NULL,"VD1.2",353
47,NULL,NULL,2,NULL,"VD1.2",352
49,NULL,NULL,1,NULL,"VD1.1",320
50,NULL,NULL,2,NULL,"VD1.2",318
51,NULL,NULL,1,NULL,"VD3.1",402
52,NULL,NULL,2,NULL,"VD3.2",315
53,NULL,NULL,2,NULL,"VD1.2",314
55,NULL,NULL,1,NULL,"VD7.1",311
56,NULL,NULL,1,NULL,"VD2.1",311
57,NULL,NULL,1,NULL,"VD2.1",309
58,NULL,NULL,2,NULL,"VD6.2",306
59,NULL,NULL,1,NULL,"VD1.1",556
60,NULL,NULL,2,NULL,"vd3.2",1009
61,54.674327,25.20204,2,"Architektų / Erfurto sankryža","VD3.2",1029
62,NULL,NULL,1,NULL,"VD1.1",303
63,NULL,NULL,2,NULL,"VD5.2",302
64,NULL,NULL,1,NULL,"VD5.1",301
65,NULL,NULL,1,NULL,"VD7.1",259
66,NULL,NULL,1,NULL,"VD4.1",258
67,NULL,NULL,1,NULL,"VD3.1",257
68,NULL,NULL,NULL,NULL,"D3",256
69,NULL,NULL,NULL,NULL,"255 D4",255
70,NULL,NULL,NULL,NULL,"D6",252
71,NULL,NULL,NULL,NULL,"D2",253
72,NULL,NULL,NULL,NULL,"D3",253
73,NULL,NULL,NULL,NULL,"D3",251
74,NULL,NULL,1,NULL,"VD1.1",217
75,NULL,NULL,NULL,NULL,"D12",216
76,NULL,NULL,NULL,NULL,"D1",216
77,NULL,NULL,1,NULL,"VD 1.1",608
78,NULL,NULL,2,NULL,"vd6.2",1009
79,NULL,NULL,1,NULL,"VD1.1",1030
80,NULL,NULL,NULL,NULL,"D14",214
81,NULL,NULL,NULL,NULL,"D3",214
82,NULL,NULL,NULL,NULL,"D15",213
83,NULL,NULL,NULL,NULL,"D4",213
84,NULL,NULL,2,NULL,"VD3.2",210
85,NULL,NULL,1,NULL,"VD3.1",210
86,NULL,NULL,2,NULL,"VD12.2",207
87,NULL,NULL,2,NULL,"VD6.2",207
88,NULL,NULL,3,NULL,"VD4.3",206
89,NULL,NULL,NULL,NULL,"D3",608
90,NULL,NULL,NULL,NULL,"D7",206
91,NULL,NULL,1,NULL,"VD2.1",204
92,NULL,NULL,NULL,NULL,"D8",203
93,NULL,NULL,NULL,NULL,"D16",102
94,NULL,NULL,1,NULL,"VD4.1",1031
95,NULL,NULL,1,NULL,"VD6.1",201
96,NULL,NULL,1,NULL,"VD3.1",156
97,NULL,NULL,1,NULL,"VD4.1",156
100,NULL,NULL,NULL,NULL,"D5",102
101,NULL,NULL,1,NULL,"VD1.1",501
102,NULL,NULL,2,NULL,"VD3.2",119
103,NULL,NULL,3,NULL,"VD2.3",101
104,NULL,NULL,NULL,NULL,"D6",101
105,NULL,NULL,1,NULL,"VD1.1",152
106,NULL,NULL,1,NULL,"VD2.1",502
107,NULL,NULL,1,NULL,"VD6.1",502
108,NULL,NULL,2,NULL,"VD1.2",103
109,NULL,NULL,2,NULL,"VD1.2",504
110,NULL,NULL,2,NULL,"VD3.2",104
111,NULL,NULL,3,NULL,"VD1.3",505
112,NULL,NULL,2,NULL,"VD2.2",506
113,NULL,NULL,NULL,NULL,"d4",1008
